cdate,working_code_l1,working_code_l2,working_code_l3,name,workers,total_hour
2022-06-09,INBOUND,COUNTING,COUNTING,進貨計數,10,34.3
2022-06-09,INBOUND,LABELING,LABELING,貼標,9,18.3
2022-06-09,INBOUND,LABELING,PRINT,印標,2,6.6
2022-06-09,INBOUND,MGMT,CONTROL,進貨控場,2,10.1
2022-06-09,INBOUND,OTHERS,ABNORMAL,進貨異常,1,10.1
2022-06-09,INBOUND,OTHERS,FIVES,進貨5S,10,4.4
2022-06-09,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,2,3.2
2022-06-09,INBOUND,PUTAWAY,SHELF,上架基架,7,14.2
2022-06-09,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,7,12.0
2022-06-09,INBOUND,QC,QC,品管,3,8.6
2022-06-09,INBOUND,RECEIVED,BULKY,箱賣,2,0.8
2022-06-09,INBOUND,RECEIVED,CONTROL,貴重驗收,1,8.5
2022-06-09,INBOUND,RECEIVED,SMALL,小驗,6,19.9
2022-06-10,INBOUND,ARRIVAL,ARRIVAL,收貨,2,10.0
2022-06-10,INBOUND,ARRIVAL,DOCK,碼頭收發,4,9.6
2022-06-10,INBOUND,COUNTING,COUNTING,進貨計數,7,36.5
2022-06-10,INBOUND,LABELING,LABELING,貼標,8,16.3
2022-06-10,INBOUND,LABELING,PRINT,印標,1,5.3
2022-06-10,INBOUND,MGMT,CONTROL,進貨控場,2,17.9
2022-06-10,INBOUND,OTHERS,ABNORMAL,進貨異常,1,3.9
2022-06-10,INBOUND,OTHERS,FIVES,進貨5S,7,5.8
2022-06-10,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,1.7
2022-06-10,INBOUND,PUTAWAY,SHELF,上架基架,10,12.2
2022-06-10,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,5,10.1
2022-06-10,INBOUND,QC,QC,品管,2,7.0
2022-06-10,INBOUND,RECEIVED,BULKY,箱賣,1,1.9
2022-06-10,INBOUND,RECEIVED,CONTROL,貴重驗收,1,5.5
2022-06-10,INBOUND,RECEIVED,SMALL,小驗,6,18.5
2022-06-11,INBOUND,ARRIVAL,ARRIVAL,收貨,2,4.0
2022-06-11,INBOUND,ARRIVAL,DOCK,碼頭收發,3,4.7
2022-06-11,INBOUND,COUNTING,COUNTING,進貨計數,8,35.4
2022-06-11,INBOUND,LABELING,LABELING,貼標,6,11.8
2022-06-11,INBOUND,LABELING,PRINT,印標,1,7.1
2022-06-11,INBOUND,MGMT,CONTROL,進貨控場,2,18.3
2022-06-11,INBOUND,OTHERS,ABNORMAL,進貨異常,2,15.4
2022-06-11,INBOUND,OTHERS,FIVES,進貨5S,10,5.8
2022-06-11,INBOUND,OTHERS,SECONDPROCESS,加工,2,2.4
2022-06-11,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,2.1
2022-06-11,INBOUND,PUTAWAY,SHELF,上架基架,11,13.0
2022-06-11,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,6,14.7
2022-06-11,INBOUND,QC,QC,品管,8,8.8
2022-06-11,INBOUND,RECEIVED,BULKY,箱賣,1,0.3
2022-06-11,INBOUND,RECEIVED,CONTROL,貴重驗收,1,9.2
2022-06-11,INBOUND,RECEIVED,SMALL,小驗,7,19.6
2022-06-12,INBOUND,ARRIVAL,DOCK,碼頭收發,1,0.2
2022-06-12,INBOUND,COUNTING,COUNTING,進貨計數,7,20.8
2022-06-12,INBOUND,LABELING,LABELING,貼標,9,15.6
2022-06-12,INBOUND,LABELING,PRINT,印標,1,4.6
2022-06-12,INBOUND,MGMT,CONTROL,進貨控場,1,8.6
2022-06-12,INBOUND,OTHERS,ABNORMAL,進貨異常,4,11.5
2022-06-12,INBOUND,OTHERS,FIVES,進貨5S,6,11.0
2022-06-12,INBOUND,OTHERS,SECONDPROCESS,加工,5,14.4
2022-06-12,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,1.4
2022-06-12,INBOUND,PUTAWAY,SHELF,上架基架,8,8.0
2022-06-12,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,3.3
2022-06-12,INBOUND,QC,QC,品管,3,4.6
2022-06-12,INBOUND,RECEIVED,CONTROL,貴重驗收,1,1.6
2022-06-12,INBOUND,RECEIVED,SMALL,小驗,5,12.6
2022-06-13,INBOUND,ARRIVAL,ARRIVAL,收貨,2,7.0
2022-06-13,INBOUND,ARRIVAL,DOCK,碼頭收發,2,8.0
2022-06-13,INBOUND,COUNTING,COUNTING,進貨計數,9,22.1
2022-06-13,INBOUND,LABELING,LABELING,貼標,9,22.4
2022-06-13,INBOUND,LABELING,PRINT,印標,1,6.3
2022-06-13,INBOUND,MGMT,CONTROL,進貨控場,1,10.3
2022-06-13,INBOUND,OTHERS,ABNORMAL,進貨異常,2,10.5
2022-06-13,INBOUND,OTHERS,FIVES,進貨5S,12,12.6
2022-06-13,INBOUND,OTHERS,SECONDPROCESS,加工,2,2.1
2022-06-13,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,6.0
2022-06-13,INBOUND,PUTAWAY,SHELF,上架基架,11,8.9
2022-06-13,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,4,8.3
2022-06-13,INBOUND,QC,QC,品管,5,7.9
2022-06-13,INBOUND,RECEIVED,CONTROL,貴重驗收,1,1.2
2022-06-13,INBOUND,RECEIVED,SMALL,小驗,5,13.6
2022-06-14,INBOUND,ARRIVAL,ARRIVAL,收貨,2,6.1
2022-06-14,INBOUND,ARRIVAL,DOCK,碼頭收發,2,5.9
2022-06-14,INBOUND,COUNTING,COUNTING,進貨計數,11,26.3
2022-06-14,INBOUND,LABELING,LABELING,貼標,7,27.3
2022-06-14,INBOUND,LABELING,PRINT,印標,2,6.9
2022-06-14,INBOUND,MGMT,CONTROL,進貨控場,1,9.9
2022-06-14,INBOUND,OTHERS,ABNORMAL,進貨異常,1,10.0
2022-06-14,INBOUND,OTHERS,FIVES,進貨5S,12,8.1
2022-06-14,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,3.4
2022-06-14,INBOUND,PUTAWAY,SHELF,上架基架,8,8.7
2022-06-14,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,5,7.7
2022-06-14,INBOUND,QC,QC,品管,5,7.7
2022-06-14,INBOUND,RECEIVED,CONTROL,貴重驗收,1,0.8
2022-06-14,INBOUND,RECEIVED,SMALL,小驗,4,15.8
2022-06-15,INBOUND,ARRIVAL,ARRIVAL,收貨,1,7.7
2022-06-15,INBOUND,ARRIVAL,DOCK,碼頭收發,2,8.7
2022-06-15,INBOUND,COUNTING,COUNTING,進貨計數,8,15.7
2022-06-15,INBOUND,LABELING,LABELING,貼標,10,31.6
2022-06-15,INBOUND,LABELING,PRINT,印標,1,7.3
2022-06-15,INBOUND,MGMT,CONTROL,進貨控場,1,10.3
2022-06-15,INBOUND,OTHERS,ABNORMAL,進貨異常,1,7.9
2022-06-15,INBOUND,OTHERS,FIVES,進貨5S,12,6.4
2022-06-15,INBOUND,OTHERS,SECONDPROCESS,加工,3,9.2
2022-06-15,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,2.8
2022-06-15,INBOUND,PUTAWAY,SHELF,上架基架,7,16.6
2022-06-15,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,3,10.3
2022-06-15,INBOUND,QC,QC,品管,5,9.0
2022-06-15,INBOUND,RECEIVED,CONTROL,貴重驗收,1,2.8
2022-06-15,INBOUND,RECEIVED,SMALL,小驗,6,18.7
2022-06-16,INBOUND,ARRIVAL,ARRIVAL,收貨,3,4.7
2022-06-16,INBOUND,ARRIVAL,DOCK,碼頭收發,2,6.2
2022-06-16,INBOUND,COUNTING,COUNTING,進貨計數,9,21.8
2022-06-16,INBOUND,LABELING,LABELING,貼標,7,24.1
2022-06-16,INBOUND,LABELING,PRINT,印標,2,7.6
2022-06-16,INBOUND,MGMT,CONTROL,進貨控場,1,11.2
2022-06-16,INBOUND,OTHERS,ABNORMAL,進貨異常,1,5.5
2022-06-16,INBOUND,OTHERS,FIVES,進貨5S,6,2.6
2022-06-16,INBOUND,OTHERS,SECONDPROCESS,加工,1,4.1
2022-06-16,INBOUND,PUTAWAY,PALLETFOURF,上架棧板_四樓,1,3.1
2022-06-16,INBOUND,PUTAWAY,SHELF,上架基架,7,15.2
2022-06-16,INBOUND,PUTAWAY,TRANSPORT,上架拉貨,5,18.5
2022-06-16,INBOUND,QC,QC,品管,2,10.7
2022-06-16,INBOUND,RECEIVED,BULKY,箱賣,1,0.7
2022-06-16,INBOUND,RECEIVED,CONTROL,貴重驗收,1,4.2
2022-06-16,INBOUND,RECEIVED,SMALL,小驗,5,24.2
2022-06-17,INBOUND,ARRIVAL,ARRIVAL,收貨,2,8.7
2022-06-17,INBOUND,ARRIVAL,DOCK,碼頭收發,5,10.1
2022-06-17,INBOUND,COUNTING,COUNTING,進貨計數,6,23.9
2022-06-17,INBOUND,LABELING,LABELING,貼標,9,25.2
2022-06-17,INBOUND,LABELING,PRINT,印標,1,7.2
2022-06-17,INBOUND,MGMT,CONTROL,進貨控場,2,19.8
